year,tier,company_name,job_title,internship_stipend_raw,base_salary_raw,total_ctc_raw,cgpa_cutoff_raw,fte_only,remarks,internship_stipend,base_salary,total_ctc,cgpa_cutoff,has_internship,has_base,has_ctc,has_cgpa_cutoff,ctc_to_base_ratio,timestamp
2024,Tier 1,BAIN CAPABILITY NETWORK,Analyst,,,45000,,,Resume Shortlisting,,,0.45,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,SOCIETE GENERALE,Software Engineer,,,,6.0,,,,,,6.0,False,False,False,True,,2025-11-20 12:24:21.034360
2024,Tier 1,IBM ISL SECURITY,Software Developer,,,30000,7.0,,,,,0.3,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,THOROGOOD,Data & Analytics Consultant,,,35000,,,They shortlisted 8.4+,,,0.35,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,MORGAN STANLEY,Technology Analyst,,,87000,8.0,,They shortlisted above 8.5 cgpa,,,0.87,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,BRITISH TELECOM,GET Intern,,,60000,,,They shortlisted 8.6+,,,0.6,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,SAP LABS,Associate Developer|DevOps|Support|QA,,,35000,7.0,,They shortlisted 8+,,,0.35,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,DOVER,GET Intern,,,25000,,,They shortlisted 8.6+,,,0.25,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,INFIBEAM,Software Development Engineer,,,20000,8.0,,Shortlisted 8.5+,,,0.2,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,AURVA.IO,Software Engineer-1,,,30000,8.0,,Prefer Open Source Contributors,,,0.3,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2024,Tier 1,MICROCHIP TECH,"App (1,2,3,4,5),SDE(0,1),SE(Test,Quality),Firmware Testing,SW/FW Design",,,30000,,,,,,0.3,,False,False,True,False,,2025-11-20 12:24:21.034360
2024,Tier 1,BLUE YONDER,Associate Software Engineer,,,50000,7.0,,,,,0.5,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
