Year,College,Company,Date_OA,Offline_Test,Tier,CTC_LPA,Base_LPA,Internship_Stipend_Monthly_INR,Role,Type,Total_Offers,CGPA_Cutoff,Allows_ECE,Allows_MCA,Allows_MTech_CS,Comments,Source_File
2025,PES,Applied Materials,17-10-2024,FALSE,Tier 1,17,9,600000,IT Solutions Management,FTE + Intern,2,8.25,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Aptiv (T2),09-11-2024,FALSE,Tier 2,8.5,,850000,Associate Embedded Software Engineer,FTE + Intern,,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,DataCore Software,23-10-2024,FALSE,Tier 1,,,35000,Software Intern,Internship (PBC),,7.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,InvisAlign India (Align Technologies),06-10-2024,FALSE,Tier 1,,,50000,"DevOps, Backend, Web Dev",Internship (PBC),,,FALSE,FALSE,FALSE,All Roles in HYDERABAD,Cross-College companies info - PES.csv
2025,PES,WayFair,10-10-2024,FALSE,Tier 1,,,75000,Software Engineering Intern,Internship (PBC),,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,AstraZeneca (T2),28-10-2024,FALSE,Tier 2,8.43,,25000,Statistical Programmer I,FTE,5,8.2,FALSE,FALSE,FALSE,Shortlisted 72 Students for Test (above 8.2 CGPA),Cross-College companies info - PES.csv
2025,PES,Infosys (T3),12-11-2024,FALSE,Tier 3,3.6,,,Software Enginer,FTE,,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Nvidia,12-11-2024,FALSE,Tier 1,29,,2900000,Software Intern,Internship (PBC),0,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Nouveau Labs,22-10-2024,FALSE,Tier 2,9,,25000,"Software Engineer, Python Dev",FTE + Intern,1,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Amazon,07-11-2024,FALSE,Tier 1,26,,2600000,AWS Cloud Support Associate,FTE + Intern,1,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,VISA,16-10-2024,FALSE,Tier 1,41,16,1500000,SDE,FTE,3,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Zebra Technologies,16-10-2024,TRUE,Tier 2,11,,1100000,SDET Intern,Internship (PBC),25,7.5,FALSE,FALSE,FALSE,"1 OA ,2 Rounds of Interview, SQL, oops, Resume asked. Checked more on whether student is more flexible to work in other roles",Cross-College companies info - PES.csv
2025,PES,American Express,25-10-2024,FALSE,Tier 1,19,13,100000,SDE,FTE + Intern,6,7.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Licious,19-10-2024,FALSE,Tier 1,16,,1600000,,,,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Bounteous x Accolite (T2),10-11-2024,FALSE,Tier 2,8,,800000,,,,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Consillio (T2),17-10-2024,FALSE,Tier 2,8,5,,Associate Software Engineer,FTE,15,7.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Siemens EDA,23-10-2024,FALSE,Tier 1,,,50000,Student Intern (Analog + SW),Internship (PBC),,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Havells India (T2),30-10-2024,FALSE,Tier 2,11.5,8,25000,"IOT(CS) , Power Electronics & Solar Roles",FTE + Intern,1,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
